Start Time,Elapsed Time,Machine Name,Login,Level,Message,Exception
2021-02-12 20:34:55.0094,    0.0760,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\Invoice\Detail\2021-02-11-19-14-INV-TSDA021,
2021-02-12 20:34:54.9204,   -0.0890,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-19-28-RNR-TSDA026,
2021-02-12 20:34:55.0834,    0.1630,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-19-28-RNR-TSDA041,
2021-02-12 20:34:55.0994,    0.0160,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-19-28-RNR-TSDA052,
2021-02-12 20:34:55.1134,    0.0140,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-20-22-RNR-TSDA006,
2021-02-12 20:34:55.1304,    0.0170,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-20-22-RNR-TSDA013,
2021-02-12 20:34:55.0204,   -0.1100,PMIIDIDNL12967,PMI\mamrulla,DEBUG,File found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\CreditNote\Detail3Inch\2021-02-11-21-08-CN-TSDA044\CN-210211-SDA0026203-WARUNG MISBAH-SDA0104665.pdf,
2021-02-12 20:34:55.1504,    0.1300,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-20-22-RNR-TSDA014,
2021-02-12 20:34:55.1864,    0.0360,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\RNR\Detail3Inch\2021-02-11-20-23-RNR-TSDA016,
2021-02-12 20:34:55.0644,   -0.1220,PMIIDIDNL12967,PMI\mamrulla,DEBUG,Directory found within criteria : \\hmsismsSDAprd.id.pmi\ftp_SDA_prd$\3.PRD\Import\PDF\Invoice\Detail\2021-02-11-19-15-INV-TSDA022,
